ID_Number,Birth_Location_X,Birth_Location_Y,Birth_Location_Z,Current_Location_X,Current_Location_Y,Current_Location_Z,Current_Vector_X,Current_Vector_Y,Current_Vector_Z,Target,Sky Exposure
93,-16.1,4.962498,22.9,-16.1,4.962498,22.9,0,0,0,No Target Assigned,0
94,-18.03,4.962498,2.589998,-18.03,4.962498,2.589998,0,0,0,No Target Assigned,0
95,-18.03,4.962498,4.639999,-18.03,4.962498,4.639999,0,0,0,No Target Assigned,0
96,-18.04,4.949997,-13.89,-18.04,4.949997,-13.89,0,0,0,No Target Assigned,0
97,-12.949,4.949997,-13.89,-12.949,4.949997,-13.89,0,0,0,No Target Assigned,0
98,-18.04,4.962498,-12.10001,-18.04,4.962498,-12.10001,0,0,0,No Target Assigned,0
99,-12.949,4.962498,-12.10001,-12.949,4.962498,-12.10001,0,0,0,No Target Assigned,0
100,-18.04,4.962498,-10.11,-18.04,4.962498,-10.11,0,0,0,No Target Assigned,0
101,-12.949,4.962498,-10.11,-12.949,4.962498,-10.11,0,0,0,No Target Assigned,0
102,-18.04,4.962498,-8.13,-18.04,4.962498,-8.13,0,0,0,No Target Assigned,0
103,-12.949,4.962498,-8.130002,-12.949,4.962498,-8.130002,0,0,0,No Target Assigned,0
104,-18.04,4.962498,-6.340003,-18.04,4.962498,-6.340003,0,0,0,No Target Assigned,0
105,-12.949,4.962498,-6.340003,-12.949,4.962498,-6.340003,0,0,0,No Target Assigned,0
106,-18.04,4.962498,-4.670001,-18.04,4.962498,-4.670001,0,0,0,No Target Assigned,0
107,-12.949,4.962498,-4.670003,-12.949,4.962498,-4.670003,0,0,0,No Target Assigned,0
108,-18.04,4.962498,-2.780003,-18.04,4.962498,-2.780003,0,0,0,No Target Assigned,0
109,-12.949,4.962498,-2.780003,-12.949,4.962498,-2.780003,0,0,0,No Target Assigned,0
110,-18.04,4.962498,-1.110003,-18.04,4.962498,-1.110003,0,0,0,No Target Assigned,0
111,-12.949,4.962498,-1.110003,-12.949,4.962498,-1.110003,0,0,0,No Target Assigned,0
112,-18.04,4.962498,0.5,-18.04,4.962498,0.5,0,0,0,No Target Assigned,0
113,-12.949,4.962498,0.499999,-12.949,4.962498,0.499999,0,0,0,No Target Assigned,0
114,17.112,4.962498,16.98,17.112,4.962498,16.98,0,0,0,No Target Assigned,0
115,12.19,4.962498,17.411,12.19,4.962498,17.411,0,0,0,No Target Assigned,0
116,10.525,4.962498,17.411,10.525,4.962498,17.411,0,0,0,No Target Assigned,0
117,12.3,4.962498,22.9,12.3,4.962498,22.9,0,0,0,No Target Assigned,0
118,10.53,4.962498,22.9,10.53,4.962498,22.9,0,0,0,No Target Assigned,0
119,14.09,4.962498,22.9,14.09,4.962498,22.9,0,0,0,No Target Assigned,0
120,15.82,4.962498,22.9,15.82,4.962498,22.9,0,0,0,No Target Assigned,0
121,17.52,4.962498,22.9,17.52,4.962498,22.9,0,0,0,No Target Assigned,0
122,8.830001,4.962498,22.9,8.830001,4.962498,22.9,0,0,0,No Target Assigned,0
123,7.060001,4.962498,22.9,7.060001,4.962498,22.9,0,0,0,No Target Assigned,0
124,3.220001,4.962498,22.9,3.220001,4.962498,22.9,0,0,0,No Target Assigned,0
125,1.45,4.962498,22.9,1.45,4.962498,22.9,0,0,0,No Target Assigned,0
126,5.010001,4.962498,22.9,5.010001,4.962498,22.9,0,0,0,No Target Assigned,0
